date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:42	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%226c7db-55027f53e4a00%22	http://138.197.118.185/platinum-demo/assets/plugins/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://138.197.118.185/platinum-demo/assets/plugins/font-awesome/css/font-awesome.min.css)
12:07:48	54626/54626	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d562-5537b891cc480%22	http://138.197.118.185/platinum-demo/assets/plugins/dashicons/dashicons.eot	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/dashicons/dashicons.eot	(from http://138.197.118.185/platinum-demo/assets/plugins/dashicons/style.css)
12:07:55	212312/212312	---M--	200	added ('OK')	image/svg+xml	etag:%2233d58-5537b71918bc0%22	http://138.197.118.185/platinum-demo/assets/plugins/batch-icons/batch.svg	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/batch-icons/batch.svg	(from http://138.197.118.185/platinum-demo/assets/plugins/batch-icons/style.css)
12:07:55	54444/54444	---M--	200	added ('OK')	application/font-sfnt	etag:%22d4ac-5537b8a7bb840%22	http://138.197.118.185/platinum-demo/assets/plugins/dashicons/dashicons.ttf	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/dashicons/dashicons.ttf	(from http://138.197.118.185/platinum-demo/assets/plugins/dashicons/style.css)
12:07:56	422393/422393	UR-MCZ	200	added ('OK')	application/javascript	etag:%22671f9-54c17d3fbb300-gzip%22	http://138.197.118.185/platinum-demo/assets/plugins/fullcalendar/dist/fullcalendar.js	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/fullcalendar/dist/fullcalendar.js	(from http://138.197.118.185/platinum-demo/calendar.html)
12:07:56	395/395	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2021%20Jun%202018%2011:07:55%20GMT	http://138.197.118.185/platinum-demo/assets/plugins/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://138.197.118.185/platinum-demo/assets/plugins/font-awesome/css/font-awesome.min.css)
12:07:57	395/395	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2021%20Jun%202018%2011:07:56%20GMT	http://138.197.118.185/platinum-demo/assets/plugins/font-awesome/fonts/fontawesome-webfont.eot?	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://138.197.118.185/platinum-demo/assets/plugins/font-awesome/css/font-awesome.min.css)
12:07:57	395/395	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2021%20Jun%202018%2011:07:56%20GMT	http://138.197.118.185/platinum-demo/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://138.197.118.185/platinum-demo/assets/plugins/font-awesome/css/font-awesome.min.css)
12:07:58	201/201	---M--	200	added ('OK')	image/png	etag:%22c9-567d087843400%22	http://138.197.118.185/images/sort_both.png?9a6486086d09bb38cf66a57cc559ade3	/home/nejos97/websites/admin%20template/138.197.118.185/images/sort_both01df.png	(from http://138.197.118.185/app/css/assets.css)
12:07:58	160/160	---M--	200	added ('OK')	image/png	etag:%22a0-567d087843400%22	http://138.197.118.185/images/sort_asc.png?9326ad44ae4bebdedd141e7a53c2a730	/home/nejos97/websites/admin%20template/138.197.118.185/images/sort_asc992f.png	(from http://138.197.118.185/app/css/assets.css)
12:07:59	158/158	---M--	200	added ('OK')	image/png	etag:%229e-567d087843400%22	http://138.197.118.185/images/sort_desc.png?1fc418e33fd5a687290258b23fac4e98	/home/nejos97/websites/admin%20template/138.197.118.185/images/sort_desc731d.png	(from http://138.197.118.185/app/css/assets.css)
12:07:59	395/395	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2021%20Jun%202018%2011:07:59%20GMT	http://138.197.118.185/platinum-demo/assets/plugins/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from http://138.197.118.185/platinum-demo/assets/plugins/font-awesome/css/font-awesome.min.css)
12:08:00	148/148	---M--	200	added ('OK')	image/png	etag:%2294-567d087843400%22	http://138.197.118.185/images/sort_asc_disabled.png?d7dc10c78f23615d328581aebcd805eb	/home/nejos97/websites/admin%20template/138.197.118.185/images/sort_asc_disabled03f0.png	(from http://138.197.118.185/app/css/assets.css)
12:08:00	395/395	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2021%20Jun%202018%2011:08:00%20GMT	http://138.197.118.185/platinum-demo/assets/plugins/pixeden-icon/pe-icon-7-stroke/fonts/Pe-icon-7-stroke.eot?d7yf1v	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/pixeden-icon/pe-icon-7-stroke/fonts/Pe-icon-7-strokebb1d.eot	(from http://138.197.118.185/platinum-demo/assets/plugins/pixeden-icon/pe-icon-7-stroke/css/pe-icon-7-stroke.css)
12:08:01	146/146	---M--	200	added ('OK')	image/png	etag:%2292-567d087843400%22	http://138.197.118.185/images/sort_desc_disabled.png?bda51e15154a18257b4f955a222fd66f	/home/nejos97/websites/admin%20template/138.197.118.185/images/sort_desc_disabled285b.png	(from http://138.197.118.185/app/css/assets.css)
12:08:01	395/395	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2021%20Jun%202018%2011:08:00%20GMT	http://138.197.118.185/platinum-demo/assets/plugins/pixeden-icon/pe-icon-7-stroke/fonts/Pe-icon-7-stroke.eot?	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/pixeden-icon/pe-icon-7-stroke/fonts/Pe-icon-7-stroked41d.eot	(from http://138.197.118.185/platinum-demo/assets/plugins/pixeden-icon/pe-icon-7-stroke/css/pe-icon-7-stroke.css)
12:08:04	395/395	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2021%20Jun%202018%2011:08:01%20GMT	http://138.197.118.185/platinum-demo/assets/plugins/pixeden-icon/pe-icon-7-stroke/fonts/Pe-icon-7-stroke.woff?d7yf1v	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/pixeden-icon/pe-icon-7-stroke/fonts/Pe-icon-7-strokebb1d.woff	(from http://138.197.118.185/platinum-demo/assets/plugins/pixeden-icon/pe-icon-7-stroke/css/pe-icon-7-stroke.css)
12:08:38	201288/201288	---M--	200	added ('OK')	image/svg+xml	etag:%2231248-567d087843400%22	http://138.197.118.185/images/batch.svg?18539afd8bfa57ab5a45d42cacd8e194	/home/nejos97/websites/admin%20template/138.197.118.185/images/batch711e.svg	(from http://138.197.118.185/app/css/assets.css)
12:08:43	3728103/3728103	UR-MCZ	200	added ('OK')	application/javascript	etag:%2238e2e7-567d087937640-gzip%22	http://138.197.118.185/app/js/assets.js	/home/nejos97/websites/admin%20template/138.197.118.185/app/js/assets.js	(from http://138.197.118.185/platinum-demo/dripicon-icon.html)
12:08:55	99368/99368	---M--	200	added ('OK')	image/svg+xml	etag:%2218428-567d087843400%22	http://138.197.118.185/fonts/dripicons-v2.svg?835984438066bd8944a7692e331152a7	/home/nejos97/websites/admin%20template/138.197.118.185/fonts/dripicons-v2e376.svg	(from http://138.197.118.185/app/css/assets.css)
